2025-12-17 14:56:04 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 14:59:39 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:04:48 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:05:04 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:06:18 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:08:20 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:10:39 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:11:01 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:11:19 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:12:03 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:16:27 | ERROR    | ai_api.recommend | 推荐失败: Request timed out.
2025-12-17 15:50:15 | WARNING  | ai_api.skill_analysis | 用户 6 画像不存在
2025-12-17 15:50:36 | ERROR    | skill_analysis_service | 技能分析失败: 'Input to ChatPromptTemplate is missing variables {\'\\n    "radar_chart"\'}.  Expected: [\'\\n    "radar_chart"\'] Received: []\nNote: if you intended {\n    "radar_chart"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "radar_chart"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2025-12-17 16:46:55 | ERROR    | skill_analysis_service | 技能分析失败: 'Input to ChatPromptTemplate is missing variables {\'\\n    "radar_chart"\'}.  Expected: [\'\\n    "radar_chart"\'] Received: []\nNote: if you intended {\n    "radar_chart"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "radar_chart"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
